fips	Elevation	Incidence	weight	Cancer	plot_type	name	population	lung	smoking	elevation	education	black	no_lung
04003	1.36983	50.3	343.154484161289	Lung	bivariate	Cochise, AZ	117755	50.3	48.25	1.36983	21.4	5.3	313.2
04007	1.30298	52.7	226.572284271488	Lung	bivariate	Gila, AZ	51335	52.7	53.75	1.30298	15	0.5	297.3
04009	1.01521	54.6	183	Lung	bivariate	Graham, AZ	33489	54.6	44.3	1.01521	13.4	2.1	350.3
04012	0.27589	60.6	140.410113595852	Lung	bivariate	La Paz, AZ	19715	60.6	47.6	0.27589	9	1.1	262.8
04013	0.38463	56	500	Lung	bivariate	Maricopa, AZ	3073322	56	39.15	0.38463	29	4.3	350.3
04015	0.57798	83.5	393.741031643897	Lung	bivariate	Mohave, AZ	155032	83.5	58	0.57798	12	0.7	348
04019	0.78219	49.2	500	Lung	bivariate	Pima, AZ	843746	49.2	47.75	0.78219	29.6	3.7	322
04021	0.56683	54.7	423.94221304324	Lung	bivariate	Pinal, AZ	179727	54.7	50	0.56683	17.9	3.1	317.5
04023	1.21773	35.1	195.910693939866	Lung	bivariate	Santa Cruz, AZ	38381	35.1	32.7	1.21773	17.3	0.5	274.8
04025	1.4198	52.6	409.28840687222	Lung	bivariate	Yavapai, AZ	167517	52.6	53.5	1.4198	23.7	0.6	338.4
04027	0.06017	53.7	400.032498679795	Lung	bivariate	Yuma, AZ	160026	53.7	37.85	0.06017	13.3	2.6	282.6
06001	0.05279	52.3	500	Lung	bivariate	Alameda, CA	1443741	52.3	40.95	0.05279	40.3	16.2	379.2
06005	0.49985	61.4	187.349939951952	Lung	bivariate	Amador, CA	35100	61.4	55.45	0.49985	19	4.1	424
06007	0.19901	70	450.744938962159	Lung	bivariate	Butte, CA	203171	70	49.9	0.19901	24.1	1.9	414.7
06009	0.56458	61.3	201.380237362061	Lung	bivariate	Calaveras, CA	40554	61.3	57.2	0.56458	19.6	1	376.5
06011	0.06799	69	137.127677731376	Lung	bivariate	Colusa, CA	18804	69	41.6	0.06799	11.7	0.7	304.3
06013	0.07319	52.8	500	Lung	bivariate	Contra Costa, CA	948816	52.8	42.6	0.07319	38.2	10.3	406.4
06015	0.0686	82.3	165.852343968965	Lung	bivariate	Del Norte, CA	27507	82.3	51.7	0.0686	14.3	4.6	401
06017	0.85998	63.6	397.717236237003	Lung	bivariate	El Dorado, CA	158179	63.6	49.5	0.85998	31.1	0.8	449.8
06019	0.11653	55	500	Lung	bivariate	Fresno, CA	799407	55	37.35	0.11653	19.7	5.9	372.1
06021	0.07449	79.2	162.643782543324	Lung	bivariate	Glenn, CA	26453	79.2	43.3	0.07449	16.2	0.8	394.9
06023	0.12935	63.4	357.523425805918	Lung	bivariate	Humboldt, CA	127823	63.4	50.4	0.12935	26.3	1.4	428.7
06025	-0.01103	48.5	377.307566846996	Lung	bivariate	Imperial, CA	142361	48.5	36	-0.01103	12.2	4.3	346.2
06027	1.4788	78.4	133.958948935859	Lung	bivariate	Inyo, CA	17945	78.4	52.75	1.4788	20.9	0.4	426.3
06029	0.28028	61.1	500	Lung	bivariate	Kern, CA	661645	61.1	42.1	0.28028	14.7	6.6	378.7
06031	0.09173	57.9	359.806892652156	Lung	bivariate	Kings, CA	129461	57.9	42.75	0.09173	11.8	8.9	368.8
06033	0.50428	84.2	241.472565729525	Lung	bivariate	Lake, CA	58309	84.2	54.75	0.50428	16.4	2.6	406.2
06035	1.46994	60.4	183.92389730538	Lung	bivariate	Lassen, CA	33828	60.4	52.35	1.46994	12.4	9.1	343.3
06037	0.15581	45.6	500	Lung	bivariate	Los Angeles, CA	9521418	45.6	36.8	0.15581	29	10.5	375
06039	0.24307	59.6	350.868921393731	Lung	bivariate	Madera, CA	123109	59.6	42.95	0.24307	13.5	4.7	382.4
06041	0.05397	45.3	498.236891448235	Lung	bivariate	Marin, CA	248240	45.3	46.4	0.05397	54.1	3.5	448.4
06043	0.92829	74.2	130.881625906771	Lung	bivariate	Mariposa, CA	17130	74.2	56.85	0.92829	20.4	0.8	363.3
06045	0.31059	61	293.709039697453	Lung	bivariate	Mendocino, CA	86265	61	49.8	0.31059	22.7	1	412.6
06047	0.05104	62.2	458.861634918414	Lung	bivariate	Merced, CA	210554	62.2	41.45	0.05104	12.5	4.5	351.8
06053	0.07103	48.6	500	Lung	bivariate	Monterey, CA	401762	48.6	37.15	0.07103	23.4	4.5	377.6
06055	0.07428	66.4	352.53226802663	Lung	bivariate	Napa, CA	124279	66.4	46.15	0.07428	30	1.6	432.8
06057	0.88241	56	303.369411773831	Lung	bivariate	Nevada, CA	92033	56	53.15	0.88241	31.9	0.5	403
06059	0.06836	48.7	500	Lung	bivariate	Orange, CA	2846289	48.7	37.45	0.06836	36	2.1	379.2
06061	0.2958	55.3	498.396428558632	Lung	bivariate	Placer, CA	248399	55.3	47.4	0.2958	34.1	1.1	402.6
06063	1.47778	62.9	144.30523206038	Lung	bivariate	Plumas, CA	20824	62.9	56.1	1.47778	19.8	0.8	365.5
06065	0.34742	55.2	500	Lung	bivariate	Riverside, CA	1613504	55.2	43.6	0.34742	20.5	7	380.7
06067	0.0261	63.7	500	Lung	bivariate	Sacramento, CA	1223499	63.7	44.95	0.0261	27.8	11.4	390
06069	0.12877	42.9	230.724944468516	Lung	bivariate	San Benito, CA	53234	42.9	39.85	0.12877	18.3	1.5	399.4
06071	0.53363	57	500	Lung	bivariate	San Bernardino, CA	1709434	57	39.5	0.53363	18.4	10	379.2
06073	0.12913	54.1	500	Lung	bivariate	San Diego, CA	2813833	54.1	40.7	0.12913	34.1	6.6	395.8
06075	0.05683	50.8	500	Lung	bivariate	San Francisco, CA	776733	50.8	43.65	0.05683	51.2	8.6	372.3
06077	0.01064	62.3	500	Lung	bivariate	San Joaquin, CA	563598	62.3	41.55	0.01064	17.5	7.5	375.9
06079	0.16742	56.2	497.588183139431	Lung	bivariate	San Luis Obispo, CA	247594	56.2	48.55	0.16742	30.6	2.4	410.6
06081	0.05823	50.2	500	Lung	bivariate	San Mateo, CA	709239	50.2	42.4	0.05823	44	4.1	404.2
06083	0.08125	48.4	500	Lung	bivariate	Santa Barbara, CA	399355	48.4	39.7	0.08125	31	2.8	406
06085	0.05731	44.3	500	Lung	bivariate	Santa Clara, CA	1682585	44.3	37.45	0.05731	45.3	3.4	385.3
06087	0.09877	46.1	500	Lung	bivariate	Santa Cruz, CA	255602	46.1	44.75	0.09877	37.3	1.5	413.7
06089	0.29698	77.2	404.049501917772	Lung	bivariate	Shasta, CA	163256	77.2	53.55	0.29698	20	1.1	410.2
06093	1.13598	77.2	210.478027356777	Lung	bivariate	Siskiyou, CA	44301	77.2	52.35	1.13598	22.6	1.6	390.2
06095	0.03694	64.5	500	Lung	bivariate	Solano, CA	394542	64.5	42.5	0.03694	24	16.6	406.4
06097	0.068	55.9	500	Lung	bivariate	Sonoma, CA	458614	55.9	45.95	0.068	31.5	2	421.9
06099	0.03307	61.5	500	Lung	bivariate	Stanislaus, CA	446997	61.5	41.95	0.03307	16.3	3.2	383.2
06101	0.01845	64.8	280.944834442636	Lung	bivariate	Sutter, CA	78930	64.8	45.15	0.01845	18.7	2.4	340.1
06103	0.18074	93.2	236.725579521944	Lung	bivariate	Tehama, CA	56039	93.2	52.05	0.18074	12.6	0.9	414.8
06105	1.0035	76.4	114.113978109608	Lung	bivariate	Trinity, CA	13022	76.4	58.15	1.0035	19.5	0.5	325.4
06107	0.13237	54.8	500	Lung	bivariate	Tulare, CA	368021	54.8	38.65	0.13237	13	2	356.6
06109	0.77616	69.6	233.454492353435	Lung	bivariate	Tuolumne, CA	54501	69.6	55.45	0.77616	17.3	2.3	460.8
06111	0.15456	48.7	500	Lung	bivariate	Ventura, CA	753197	48.7	39.85	0.15456	30.8	2.4	401.4
06113	0.01839	57.3	410.682359007542	Lung	bivariate	Yolo, CA	168660	57.3	35.85	0.01839	37.8	2.6	387.9
06115	0.08789	96.2	245.395598982541	Lung	bivariate	Yuba, CA	60219	96.2	48.05	0.08789	12.5	4	378.4
08001	1.61368	61.9	500	Lung	bivariate	Adams, CO	364111	61.9	47.05	1.61368	20.3	3.5	365
08003	2.30932	23.3	122.335603975294	Lung	bivariate	Alamosa, CO	14966	23.3	41	2.30932	26.6	1.3	368.3
08005	1.70136	48.7	500	Lung	bivariate	Arapahoe, CO	490164	48.7	42.35	1.70136	37.9	8.7	361
08013	1.64471	39.3	500	Lung	bivariate	Boulder, CO	291288	39.3	44.5	1.64471	57	1.2	395.5
08015	2.51958	39	127.444105395267	Lung	bivariate	Chaffee, CO	16242	39	50.9	2.51958	33.3	1.7	386.2
08029	1.82309	57.6	166.83524807426	Lung	bivariate	Delta, CO	27834	57.6	50.05	1.82309	18.3	0.6	353.1
08031	1.63732	51.5	500	Lung	bivariate	Denver, CO	556013	51.5	45	1.63732	40.1	12.1	387.4
08041	1.94199	49.8	500	Lung	bivariate	El Paso, CO	516929	49.8	48.6	1.94199	34.9	7.7	404.7
08043	1.7424	67.2	214.813872922584	Lung	bivariate	Fremont, CO	46145	67.2	52.75	1.7424	16.2	5.5	395.8
08045	2.03862	51	209.262992428188	Lung	bivariate	Garfield, CO	43791	51	45.65	2.03862	24.4	0.7	369.8
08049	2.78515	40.3	111.543713404208	Lung	bivariate	Grand, CO	12442	40.3	49.25	2.78515	28.8	0.6	350
08051	2.67836	33.6	118.135515404979	Lung	bivariate	Gunnison, CO	13956	33.6	44.05	2.67836	45.8	0.7	333.2
08059	1.76535	48.2	500	Lung	bivariate	Jefferson, CO	528130	48.2	47.4	1.76535	39.3	1.2	376.3
08067	2.22172	44.8	212.087246198351	Lung	bivariate	La Plata, CO	44981	44.8	47.55	2.22172	40.6	0.6	383.7
08069	1.60459	41.5	500	Lung	bivariate	Larimer, CO	251494	41.5	47.65	1.60459	42.5	1	380.8
08071	2.00886	50.5	123.316665540388	Lung	bivariate	Las Animas, CO	15207	50.5	45.1	2.00886	19.3	0.6	297.3
08075	1.22997	59.1	143.19217855735	Lung	bivariate	Logan, CO	20504	59.1	48.9	1.22997	18	2.3	419.2
08077	1.47285	61.5	340.961874701557	Lung	bivariate	Mesa, CO	116255	61.5	51.5	1.47285	25.4	0.7	379.6
08081	1.94815	59.3	114.821600755259	Lung	bivariate	Moffat, CO	13184	59.3	50.6	1.94815	14.9	0.4	410.9
08083	1.99752	53.7	154.369686143362	Lung	bivariate	Montezuma, CO	23830	53.7	48.55	1.99752	26.5	0.3	382.4
08085	1.91971	57.6	182.84419597023	Lung	bivariate	Montrose, CO	33432	57.6	46.2	1.91971	22.3	0.5	361.8
08087	1.32823	49.8	164.836282413794	Lung	bivariate	Morgan, CO	27171	49.8	42.6	1.32823	14.6	0.5	367.4
08089	1.27874	52.1	142.516665692122	Lung	bivariate	Otero, CO	20311	52.1	46.2	1.27874	15.4	1	380.4
08097	2.75963	25	121.950809755409	Lung	bivariate	Pitkin, CO	14872	25	40.05	2.75963	59.7	0.6	391.9
08099	1.11224	45.5	120.345336428131	Lung	bivariate	Prowers, CO	14483	45.5	43.05	1.11224	18.3	0.4	356.8
08101	1.49269	51.3	376.127637910324	Lung	bivariate	Pueblo, CO	141472	51.3	47.35	1.49269	20.9	2.3	409.4
08105	2.4774	38.4	111.413643688733	Lung	bivariate	Rio Grande, CO	12413	38.4	45.95	2.4774	19.2	0.4	375.6
08107	2.33629	49.6	142.80406156689	Lung	bivariate	Routt, CO	20393	49.6	44.45	2.33629	45.6	0.3	371.5
08123	1.46872	55	425.365724994386	Lung	bivariate	Weld, CO	180936	55	42.05	1.46872	25.4	0.8	363.5
16001	0.83037	58.7	500	Lung	bivariate	Ada, ID	300904	58.7	46.8	0.83037	35	1	418.4
16005	1.4416	42.1	274.890887444455	Lung	bivariate	Bannock, ID	75565	42.1	45.55	1.4416	27.3	0.9	349.5
16011	1.40641	46.8	204.2914584607	Lung	bivariate	Bingham, ID	41735	46.8	42.8	1.40641	15.9	0.4	384
16013	1.93417	28.9	137.807837222707	Lung	bivariate	Blaine, ID	18991	28.9	41.85	1.93417	43.2	0.3	375.1
16017	0.80397	58.6	191.924464308227	Lung	bivariate	Bonner, ID	36835	58.6	55.85	0.80397	22.5	0.2	414.5
16019	1.45545	36	287.266426858413	Lung	bivariate	Bonneville, ID	82522	36	44	1.45545	26.2	0.7	381.3
16027	0.75237	57.7	362.547927866096	Lung	bivariate	Canyon, ID	131441	57.7	47.2	0.75237	16.7	0.5	410.8
16031	1.35891	34.6	146.342065039414	Lung	bivariate	Cassia, ID	21416	34.6	37.35	1.35891	15.7	0.2	308.7
16043	1.58565	26	108.715224324839	Lung	bivariate	Fremont, ID	11819	26	47.9	1.58565	19.8	0.4	381.2
16045	0.76313	75.8	123.211200789539	Lung	bivariate	Gem, ID	15181	75.8	52.8	0.76313	12.6	0.2	410
16047	1.05944	63.1	118.974787245029	Lung	bivariate	Gooding, ID	14155	63.1	42.2	1.05944	11.5	0.5	420.4
16049	1.11151	58.1	124.543165207891	Lung	bivariate	Idaho, ID	15511	58.1	53.7	1.11151	12.3	0.1	345.8
16051	1.48497	35.9	138.401589586247	Lung	bivariate	Jefferson, ID	19155	35.9	38.9	1.48497	17.8	0.3	399.5
16053	1.15273	62.1	135.432640083549	Lung	bivariate	Jerome, ID	18342	62.1	44.05	1.15273	12.1	0.3	421
16055	0.72524	60.9	329.674081480483	Lung	bivariate	Kootenai, ID	108685	60.9	54	0.72524	23.2	0.3	419.6
16057	0.82288	35.6	186.909068800848	Lung	bivariate	Latah, ID	34935	35.6	42.45	0.82288	41.8	0.8	344.9
16067	1.27387	43.2	142.035206903077	Lung	bivariate	Minidoka, ID	20174	43.2	46.3	1.27387	9.4	0.4	372.5
16069	0.42658	70.3	193.416648714634	Lung	bivariate	Nez Perce, ID	37410	70.3	52.75	0.42658	18.2	0.4	393.2
16073	0.92709	70.5	103.169763012231	Lung	bivariate	Owyhee, ID	10644	70.5	43.3	0.92709	10.3	0.3	383.2
16075	0.68787	75.9	143.450339839263	Lung	bivariate	Payette, ID	20578	75.9	51.95	0.68787	13.8	0.3	397.7
16079	1.0906	97.9	117.349904132896	Lung	bivariate	Shoshone, ID	13771	97.9	61.9	1.0906	11.9	0.2	403.3
16083	1.16248	59.1	253.542895778998	Lung	bivariate	Twin Falls, ID	64284	59.1	49	1.16248	16.8	0.3	421.2
