fips	Elevation	Incidence	weight	Cancer	plot_type	alpha	tooltip
04003	 1.36983	 50.3000	343	Lung	bivariate	0.767	<b>Cochise, AZ</b><br><i>pop. 117755</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>48.2</td><td>2.5</td></tr><tr><td>education</td><td>21.4</td><td>1.8</td></tr><tr><td>black</td><td>5.3</td><td>1.8</td></tr><tr><td>no_lung</td><td>313.2</td><td>-3.7</td></tr><tr><td>elevation</td><td>1.4</td><td>-4.2</td></tr></table>
04007	 1.30298	 52.7000	227	Lung	bivariate	0.556	<b>Gila, AZ</b><br><i>pop. 51335</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>53.8</td><td>10.4</td></tr><tr><td>education</td><td>15.0</td><td>4.6</td></tr><tr><td>black</td><td>0.5</td><td>-1.5</td></tr><tr><td>elevation</td><td>1.3</td><td>-3.7</td></tr><tr><td>no_lung</td><td>297.3</td><td>-4.5</td></tr></table>
04009	 1.01521	 54.6000	183	Lung	bivariate	0.464	<b>Graham, AZ</b><br><i>pop. 33489</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>13.4</td><td>5.3</td></tr><tr><td>black</td><td>2.1</td><td>-0.4</td></tr><tr><td>elevation</td><td>1.0</td><td>-1.7</td></tr><tr><td>no_lung</td><td>350.3</td><td>-1.8</td></tr><tr><td>smoking</td><td>44.3</td><td>-3.2</td></tr></table>
04012	 0.27589	 60.6000	140	Lung	bivariate	0.362	<b>La Paz, AZ</b><br><i>pop. 19715</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>9.0</td><td>7.2</td></tr><tr><td>elevation</td><td>0.3</td><td>3.7</td></tr><tr><td>smoking</td><td>47.6</td><td>1.6</td></tr><tr><td>black</td><td>1.1</td><td>-1.1</td></tr><tr><td>no_lung</td><td>262.8</td><td>-6.3</td></tr></table>
04013	 0.38463	 56.0000	500	Lung	bivariate	1.000	<b>Maricopa, AZ</b><br><i>pop. 3073322</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.4</td><td>2.9</td></tr><tr><td>black</td><td>4.3</td><td>1.1</td></tr><tr><td>education</td><td>29.0</td><td>-1.5</td></tr><tr><td>no_lung</td><td>350.3</td><td>-1.8</td></tr><tr><td>smoking</td><td>39.1</td><td>-10.6</td></tr></table>
04015	 0.57798	 83.5000	394	Lung	bivariate	0.847	<b>Mohave, AZ</b><br><i>pop. 155032</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>58.0</td><td>16.6</td></tr><tr><td>education</td><td>12.0</td><td>5.9</td></tr><tr><td>elevation</td><td>0.6</td><td>1.5</td></tr><tr><td>black</td><td>0.7</td><td>-1.3</td></tr><tr><td>no_lung</td><td>348.0</td><td>-1.9</td></tr></table>
04019	 0.78219	 49.2000	500	Lung	bivariate	1.000	<b>Pima, AZ</b><br><i>pop. 843746</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>47.8</td><td>1.8</td></tr><tr><td>black</td><td>3.7</td><td>0.7</td></tr><tr><td>elevation</td><td>0.8</td><td>0.0</td></tr><tr><td>education</td><td>29.6</td><td>-1.7</td></tr><tr><td>no_lung</td><td>322.0</td><td>-3.2</td></tr></table>
04021	 0.56683	 54.7000	424	Lung	bivariate	0.892	<b>Pinal, AZ</b><br><i>pop. 179727</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>50.0</td><td>5.0</td></tr><tr><td>education</td><td>17.9</td><td>3.4</td></tr><tr><td>elevation</td><td>0.6</td><td>1.6</td></tr><tr><td>black</td><td>3.1</td><td>0.3</td></tr><tr><td>no_lung</td><td>317.5</td><td>-3.5</td></tr></table>
04023	 1.21773	 35.1000	196	Lung	bivariate	0.492	<b>Santa Cruz, AZ</b><br><i>pop. 38381</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>17.3</td><td>3.6</td></tr><tr><td>black</td><td>0.5</td><td>-1.5</td></tr><tr><td>elevation</td><td>1.2</td><td>-3.1</td></tr><tr><td>no_lung</td><td>274.8</td><td>-5.6</td></tr><tr><td>smoking</td><td>32.7</td><td>-19.9</td></tr></table>
04025	 1.41980	 52.6000	409	Lung	bivariate	0.871	<b>Yavapai, AZ</b><br><i>pop. 167517</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>53.5</td><td>10.1</td></tr><tr><td>education</td><td>23.7</td><td>0.8</td></tr><tr><td>black</td><td>0.6</td><td>-1.4</td></tr><tr><td>no_lung</td><td>338.4</td><td>-2.4</td></tr><tr><td>elevation</td><td>1.4</td><td>-4.6</td></tr></table>
