Cancer	size	bic	estimate	lower	upper	optimal
Lung	1	711.584323834129	-0.449518802577002	-0.595863527621459	-0.303174077532544	FALSE
Lung	2	530.981053902441	-0.452789781012001	-0.55429857794489	-0.351280984079112	FALSE
Lung	3	495.807676195382	-0.436723565334496	-0.530789717197349	-0.342657413471642	FALSE
Lung	4	487.648166857784	-0.394776387947248	-0.491089596699239	-0.298463179195257	FALSE
Lung	5	484.169403799063	-0.354751971504714	-0.455715416883823	-0.253788526125606	TRUE
Lung	6	487.074344431489	-0.390951776667407	-0.50743082389359	-0.274472729441225	FALSE
Lung	7	491.069004202801	-0.417544490123693	-0.546888054242111	-0.288200926005276	FALSE
Lung	8	495.83904596968	-0.416549007463181	-0.546001124649788	-0.287096890276574	FALSE
Lung	9	501.027705442103	-0.395105603329549	-0.556843667369619	-0.23336753928948	FALSE
Lung	10	506.393965482553	-0.387907723286258	-0.556536122463294	-0.219279324109223	FALSE
Breast	1	711.693112704916	-0.329422448059848	-0.487334845832589	-0.171510050287108	FALSE
Breast	2	632.111538554112	-0.352807392676248	-0.485779482671459	-0.219835302681037	FALSE
Breast	3	558.928461591707	-0.174811308734348	-0.298031361149376	-0.0515912563193195	FALSE
Breast	4	558.258203819179	-0.123545950058163	-0.256829835047375	0.00973793493104913	FALSE
Breast	5	557.89128254599	-0.171710425580043	-0.31355463043081	-0.0298662207292767	TRUE
Breast	6	558.714401469773	-0.160401484275308	-0.301858682451436	-0.0189442860991803	FALSE
Breast	7	562.080632268425	-0.157097960816576	-0.298367850037701	-0.0158280715954508	FALSE
Breast	8	567.422910235697	-0.170348587088044	-0.338230910343222	-0.00246626383286744	FALSE
Breast	9	572.868603830438	-0.167304339981111	-0.33957751524521	0.00496883528298842	FALSE
Breast	10	578.352212454714	-0.167102290567599	-0.339837470016606	0.00563288888140864	FALSE
Colorectal	1	724.766943929686	-0.243397184749469	-0.405615219213181	-0.0811791502857571	FALSE
Colorectal	2	698.475968940317	-0.0923378697157673	-0.258990735524945	0.0743149960934104	FALSE
Colorectal	3	675.021036819476	-0.0589210539415441	-0.217059944022611	0.0992178361395223	FALSE
Colorectal	4	661.269461631182	0.0358819487852419	-0.126265656442994	0.198029554013478	FALSE
Colorectal	5	660.388548107428	0.0761258701623066	-0.0895689274967841	0.241820667821397	TRUE
Colorectal	6	662.42827932588	0.0917026033022634	-0.0822648542978822	0.265670060902409	FALSE
Colorectal	7	666.104360191468	0.150319274400792	-0.0577837380373181	0.358422286838901	FALSE
Colorectal	8	669.195946315267	0.156138076007365	-0.0516250337519951	0.363901185766726	FALSE
Colorectal	9	673.81042743924	0.148125209467927	-0.0609453533614882	0.357195772297342	FALSE
Colorectal	10	678.638536602894	0.149420451722682	-0.0598637107516422	0.358704614197006	FALSE
Prostate	1	784.398239804988	0.105288656949272	-0.0556891154305238	0.266266429329067	FALSE
Prostate	2	769.251728965688	0.25929488647462	0.081767326006191	0.436822446943049	FALSE
Prostate	3	753.255625831241	0.243144015334378	0.0722803544043126	0.414007676264443	FALSE
Prostate	4	751.103803573371	0.144397262658441	-0.0479846894938941	0.336779214810776	TRUE
Prostate	5	752.835991663582	0.160565830470775	-0.032002345892548	0.353134006834097	FALSE
Prostate	6	754.4451165494	0.201616596959891	0.00261470446275916	0.400618489457022	FALSE
Prostate	7	759.264178912055	0.204441593592497	0.00513295290169538	0.403750234283299	FALSE
Prostate	8	764.237150972275	0.209588136807099	0.00930895521710579	0.409867318397093	FALSE
Prostate	9	769.654233547047	0.226498950275845	-0.00714956859364116	0.460147469145331	FALSE
