state	state_n	elevation.coef	elevation.se	lower	upper	smoking.coef	smoking.lower	smoking.upper
AZ	AZ (11)	-15.4077663285909	4.95229133789833	-26.8277706325202	-3.98776202466161	1.26204633517935	0.534721517543371	1.98937115281534
CA	CA (54)	-3.95480070916957	4.83974285114807	-13.6709899096365	5.76138849129738	1.3213165351913	0.792880473939886	1.84975259644271
CO	CO (29)	-12.4245743051791	3.52868563601192	-19.6778915097178	-5.17125710064034	1.41790926033363	0.540472459657677	2.29534606100959
ID	ID (22)	-18.0750071114676	7.16268984656046	-33.0666892545848	-3.08332496835035	1.41536243866038	0.421996706282873	2.40872817103789
MT	MT (15)	-19.7378105980988	10.7886937439073	-43.2443549426746	3.76873374647705	1.11445486794249	-1.08896979759068	3.31787953347565
NV	NV (7)	-8.63711382021887	6.59267171620247	-26.9413049368452	9.66707729640742	1.10556554186352	-0.521968167138544	2.73309925086558
NM	NM (23)	-29.1982130152334	4.578021098116	-38.7477976867153	-19.6486283437515	1.09096293864234	-0.0850085751840488	2.26693445246874
OR	OR (29)	-6.82804790403958	3.06281580729129	-13.1237559610676	-0.532339847011605	1.74322686736799	1.21090637918588	2.2755473555501
UT	UT (17)	1.55723369217438	3.92065204212703	-6.85172861573743	9.96619600008619	1.46286102177709	1.07766446060294	1.84805758295124
WA	WA (32)	-13.5050929479332	7.49156423803027	-28.827062193494	1.81687629762767	1.20895006505567	0.461303523729071	1.95659660638226
WY	WY (14)	-25.7433602600178	12.3507927212195	-52.9272717547899	1.4405512347542	0.926350634280221	-2.28729416607121	4.13999543463165
Meta	Meta	-10.7817478367968	NA	-14.585344179391	-6.9781514942026	NA	NA	NA
