fips	Elevation	Incidence	weight	Cancer
04003	1.36983	50.3	343.154484161289	Lung
04007	1.30298	52.7	226.572284271488	Lung
04009	1.01521	54.6	183	Lung
04012	0.27589	60.6	140.410113595852	Lung
04013	0.38463	56	500	Lung
04015	0.57798	83.5	393.741031643897	Lung
04019	0.78219	49.2	500	Lung
04021	0.56683	54.7	423.94221304324	Lung
04023	1.21773	35.1	195.910693939866	Lung
04025	1.4198	52.6	409.28840687222	Lung
04027	0.06017	53.7	400.032498679795	Lung
06001	0.05279	52.3	500	Lung
06005	0.49985	61.4	187.349939951952	Lung
06007	0.19901	70	450.744938962159	Lung
06009	0.56458	61.3	201.380237362061	Lung
06011	0.06799	69	137.127677731376	Lung
06013	0.07319	52.8	500	Lung
06015	0.0686	82.3	165.852343968965	Lung
06017	0.85998	63.6	397.717236237003	Lung
06019	0.11653	55	500	Lung
06021	0.07449	79.2	162.643782543324	Lung
06023	0.12935	63.4	357.523425805918	Lung
06025	-0.01103	48.5	377.307566846996	Lung
06027	1.4788	78.4	133.958948935859	Lung
06029	0.28028	61.1	500	Lung
06031	0.09173	57.9	359.806892652156	Lung
06033	0.50428	84.2	241.472565729525	Lung
06035	1.46994	60.4	183.92389730538	Lung
06037	0.15581	45.6	500	Lung
06039	0.24307	59.6	350.868921393731	Lung
06041	0.05397	45.3	498.236891448235	Lung
06043	0.92829	74.2	130.881625906771	Lung
06045	0.31059	61	293.709039697453	Lung
06047	0.05104	62.2	458.861634918414	Lung
06053	0.07103	48.6	500	Lung
06055	0.07428	66.4	352.53226802663	Lung
06057	0.88241	56	303.369411773831	Lung
06059	0.06836	48.7	500	Lung
06061	0.2958	55.3	498.396428558632	Lung
06063	1.47778	62.9	144.30523206038	Lung
06065	0.34742	55.2	500	Lung
06067	0.0261	63.7	500	Lung
06069	0.12877	42.9	230.724944468516	Lung
06071	0.53363	57	500	Lung
06073	0.12913	54.1	500	Lung
06075	0.05683	50.8	500	Lung
06077	0.01064	62.3	500	Lung
06079	0.16742	56.2	497.588183139431	Lung
06081	0.05823	50.2	500	Lung
06083	0.08125	48.4	500	Lung
06085	0.05731	44.3	500	Lung
06087	0.09877	46.1	500	Lung
06089	0.29698	77.2	404.049501917772	Lung
06093	1.13598	77.2	210.478027356777	Lung
06095	0.03694	64.5	500	Lung
06097	0.068	55.9	500	Lung
06099	0.03307	61.5	500	Lung
06101	0.01845	64.8	280.944834442636	Lung
06103	0.18074	93.2	236.725579521944	Lung
06105	1.0035	76.4	114.113978109608	Lung
06107	0.13237	54.8	500	Lung
06109	0.77616	69.6	233.454492353435	Lung
06111	0.15456	48.7	500	Lung
06113	0.01839	57.3	410.682359007542	Lung
06115	0.08789	96.2	245.395598982541	Lung
08001	1.61368	61.9	500	Lung
08003	2.30932	23.3	122.335603975294	Lung
08005	1.70136	48.7	500	Lung
08013	1.64471	39.3	500	Lung
08015	2.51958	39	127.444105395267	Lung
08029	1.82309	57.6	166.83524807426	Lung
08031	1.63732	51.5	500	Lung
08041	1.94199	49.8	500	Lung
08043	1.7424	67.2	214.813872922584	Lung
08045	2.03862	51	209.262992428188	Lung
08049	2.78515	40.3	111.543713404208	Lung
08051	2.67836	33.6	118.135515404979	Lung
08059	1.76535	48.2	500	Lung
08067	2.22172	44.8	212.087246198351	Lung
08069	1.60459	41.5	500	Lung
08071	2.00886	50.5	123.316665540388	Lung
08075	1.22997	59.1	143.19217855735	Lung
08077	1.47285	61.5	340.961874701557	Lung
08081	1.94815	59.3	114.821600755259	Lung
08083	1.99752	53.7	154.369686143362	Lung
08085	1.91971	57.6	182.84419597023	Lung
08087	1.32823	49.8	164.836282413794	Lung
08089	1.27874	52.1	142.516665692122	Lung
08097	2.75963	25	121.950809755409	Lung
08099	1.11224	45.5	120.345336428131	Lung
08101	1.49269	51.3	376.127637910324	Lung
08105	2.4774	38.4	111.413643688733	Lung
08107	2.33629	49.6	142.80406156689	Lung
08123	1.46872	55	425.365724994386	Lung
16001	0.83037	58.7	500	Lung
16005	1.4416	42.1	274.890887444455	Lung
16011	1.40641	46.8	204.2914584607	Lung
16013	1.93417	28.9	137.807837222707	Lung
16017	0.80397	58.6	191.924464308227	Lung
16019	1.45545	36	287.266426858413	Lung
16027	0.75237	57.7	362.547927866096	Lung
16031	1.35891	34.6	146.342065039414	Lung
16043	1.58565	26	108.715224324839	Lung
16045	0.76313	75.8	123.211200789539	Lung
16047	1.05944	63.1	118.974787245029	Lung
16049	1.11151	58.1	124.543165207891	Lung
16051	1.48497	35.9	138.401589586247	Lung
16053	1.15273	62.1	135.432640083549	Lung
16055	0.72524	60.9	329.674081480483	Lung
16057	0.82288	35.6	186.909068800848	Lung
16067	1.27387	43.2	142.035206903077	Lung
16069	0.42658	70.3	193.416648714634	Lung
16073	0.92709	70.5	103.169763012231	Lung
16075	0.68787	75.9	143.450339839263	Lung
16079	1.0906	97.9	117.349904132896	Lung
16083	1.16248	59.1	253.542895778998	Lung
30013	1.05983	74.1	283.473102780493	Lung
30017	0.73941	77.5	108.148046676766	Lung
30027	1.25059	62.8	109.055031979272	Lung
30029	0.99844	62.5	272.893752218698	Lung
30031	1.55282	47.9	260.443851914381	Lung
30041	0.86015	77.4	129.123971438304	Lung
30043	1.60127	96	100.244700608062	Lung
30049	1.29116	73.3	236.042369078096	Lung
30053	1.09585	87.9	137.247950804374	Lung
30063	1.09651	62.5	309.51898164733	Lung
30067	1.65706	49.6	125.275695966935	Lung
30081	1.39823	51.4	189.921036222952	Lung
30089	1.16545	59.4	101.128630960772	Lung
30093	1.73005	59.2	186.026879778165	Lung
30111	0.9978	69.2	359.655390617185	Lung
32001	1.24885	82.6	154.861228201251	Lung
32003	0.65514	71.3	500	Lung
32005	1.64554	59.1	203.123115375872	Lung
32007	1.75552	57.6	212.816822643324	Lung
32013	1.50769	56	126.9094165143	Lung
32019	1.45403	80.4	185.744448100071	Lung
32031	1.46328	65.9	500	Lung
35001	1.63461	44.2	500	Lung
35005	1.1099	62.9	247.753910160869	Lung
35007	2.133	32.7	119.117588961496	Lung
35009	1.30869	59	212.235718011837	Lung
35013	1.23261	43.5	417.949757746072	Lung
35015	1.01084	63	227.283963358614	Lung
35017	1.84299	39.7	187.701891306401	Lung
35025	1.12207	67.7	235.607724830915	Lung
35027	2.05568	39.7	139.323364874668	Lung
35028	2.16274	24.5	135.436331905438	Lung
35029	1.32874	53	158.16447135814	Lung
35035	1.47471	58.3	249.595673039418	Lung
35037	1.26037	85.5	100.772019926168	Lung
35039	2.03226	27.5	202.953196574974	Lung
35041	1.23935	67.8	134.231143927183	Lung
35043	1.69457	44.8	299.846627461441	Lung
35047	2.05931	38.5	173.568430309201	Lung
35049	2.04993	37.8	359.571967761671	Lung
35051	1.47006	60.2	115.195486022674	Lung
35053	1.61397	49	134.454453254624	Lung
35055	2.39819	35.9	173.144448366097	Lung
35057	1.9708	55.2	130.042300810159	Lung
35061	1.51823	57.1	257.21975040809	Lung
41001	1.17598	65.8	129.387016350173	Lung
41003	0.1047	58	279.558580623096	Lung
41005	0.12243	58.6	500	Lung
41007	0.0806	75.4	188.759105740624	Lung
41009	0.12409	86.1	208.710325571113	Lung
41011	0.07516	79.6	250.557378658063	Lung
