x	y	correlation
lung	education	-0.40484372135011
colorectal	education	-0.297388978340512
breast	education	0.441277015331818
prostate	education	0.286524730825665
lung	income	-0.259903237900556
colorectal	income	-0.112889239342214
breast	income	0.428534101541664
prostate	income	0.231617713458858
lung	mammogram	-0.0579051333766821
colorectal	mammogram	-0.0902116767190464
breast	mammogram	0.495906548536478
prostate	mammogram	0.250771034715216
lung	drinking	0.245120065983755
colorectal	drinking	0.107688578644502
breast	drinking	0.140646339113724
prostate	drinking	-0.0522561522959998
lung	male	-0.0647227839864671
colorectal	male	-0.16543871269159
breast	male	-0.0342330962695062
prostate	male	-0.0285278023272368
lung	meat	0.0844245473532337
colorectal	meat	0.173050247033697
breast	meat	0.117927298538886
prostate	meat	0.0448799635307944
lung	particulate	0.0667630420675554
colorectal	particulate	0.058522786573603
breast	particulate	0.00584444733612763
prostate	particulate	-0.138100419958991
lung	black	0.051083835647945
colorectal	black	0.0806933062270404
breast	black	0.134598352880595
prostate	black	-0.117163996292072
lung	metro	-0.0552351712062115
colorectal	metro	-0.0472903050994093
breast	metro	0.341249604658648
prostate	metro	0.0542852459202097
lung	elevation	-0.487524810775574
colorectal	elevation	-0.177414962623781
breast	elevation	-0.287366805025426
prostate	elevation	0.103371373565643
lung	radon	-0.439344776942135
colorectal	radon	-0.108948937118001
breast	radon	-0.203490460121497
prostate	radon	0.173835480013016
lung	diabetes	0.357987347980076
colorectal	diabetes	0.190109968876572
breast	diabetes	-0.106762783202954
prostate	diabetes	-0.194229554482458
lung	obesity	0.41465824804087
colorectal	obesity	0.241802946000655
breast	obesity	-0.126151767738691
prostate	obesity	-0.165006012748835
lung	all_cancer	0.601402137889927
colorectal	all_cancer	0.525801521639828
breast	all_cancer	0.592462292109102
prostate	all_cancer	0.445324882848123
lung	white	0.0987865187292266
colorectal	white	-0.0267654099912662
breast	white	0.110990098193519
prostate	white	0.249691652395703
lung	female_smoking	0.553786398430639
colorectal	female_smoking	0.217612599683613
breast	female_smoking	0.19889261354953
prostate	female_smoking	-0.0071815616914971
lung	smoking	0.613850670947286
colorectal	smoking	0.257103237083307
breast	smoking	0.124765041686249
prostate	smoking	-0.0510932291922929
education	income	0.617276019205694
education	mammogram	0.633781687691969
income	mammogram	0.645118177778038
education	drinking	0.222262845324891
income	drinking	0.167215974946135
mammogram	drinking	0.280408417255298
education	male	-0.0426808751099722
income	male	0.101284763259622
mammogram	male	0.038957395971426
drinking	male	0.224885323628664
education	meat	0.167454588753806
income	meat	0.246935191766284
mammogram	meat	0.163654179083601
drinking	meat	0.0809997715956249
male	meat	-0.063396522104157
education	particulate	-0.0737552887498266
income	particulate	0.195419068120315
mammogram	particulate	0.245977915626429
drinking	particulate	0.152583327715927
male	particulate	0.136734695674467
meat	particulate	0.16191088425914
education	black	0.13620889666262
income	black	0.271504714674863
mammogram	black	0.292448442835931
drinking	black	0.114500569131285
male	black	0.155213522859731
meat	black	0.336478399445835
particulate	black	0.311672745884865
education	metro	0.284759700513238
income	metro	0.405007740187317
mammogram	metro	0.428191573400777
drinking	metro	-0.0269373795038202
male	metro	-0.158853571521375
meat	metro	0.11191409601167
particulate	metro	0.24857074740499
black	metro	0.405155762419178
education	elevation	0.109546902417577
income	elevation	-0.0640171676573985
mammogram	elevation	-0.217621955091464
drinking	elevation	-0.00152462295118262
male	elevation	0.18532756459484
meat	elevation	-0.276347583730435
particulate	elevation	-0.304790614614434
black	elevation	-0.295778221341168
metro	elevation	-0.368407110321958
education	radon	0.107542273153783
income	radon	-0.112508889528697
mammogram	radon	-0.172529680053178
drinking	radon	-0.0612143067698985
male	radon	0.0487529481746993
meat	radon	-0.255035081672398
particulate	radon	-0.302151415967181
black	radon	-0.283069614368667
metro	radon	-0.183237691003931
elevation	radon	0.706243658934779
education	diabetes	-0.515263746019546
income	diabetes	-0.144617647227492
mammogram	diabetes	-0.159559842829691
drinking	diabetes	-0.221074359534377
male	diabetes	-0.0735528528753105
meat	diabetes	0.0522831979924301
particulate	diabetes	0.202930295467305
black	diabetes	0.19272334977829
metro	diabetes	0.120056035546314
elevation	diabetes	-0.547569773516797
radon	diabetes	-0.378342250320478
education	obesity	-0.617106313373142
income	obesity	-0.265331531915854
mammogram	obesity	-0.24133400570008
drinking	obesity	-0.274278866500602
male	obesity	-0.0931315298635775
meat	obesity	-0.0327310978473279
particulate	obesity	0.00499279790933811
black	obesity	-0.000799719742700901
metro	obesity	0.00744414626865533
elevation	obesity	-0.489774735341881
radon	obesity	-0.323738155951421
diabetes	obesity	0.816063177538781
education	all_cancer	0.025732523853784
income	all_cancer	0.0989126850699876
mammogram	all_cancer	0.266938577869627
drinking	all_cancer	0.163723192732168
male	all_cancer	-0.12783412291528
meat	all_cancer	0.174523571961521
particulate	all_cancer	-0.0298686314929114
black	all_cancer	0.0593954972927576
metro	all_cancer	0.139974574158497
elevation	all_cancer	-0.415577578237353
radon	all_cancer	-0.308261340415185
diabetes	all_cancer	0.138303230310274
obesity	all_cancer	0.160533895555654
education	white	0.0729436764385839
income	white	-0.0810900392072236
mammogram	white	0.113471937569377
drinking	white	0.0122586870647107
male	white	-0.054206072172145
meat	white	-0.341614050916901
particulate	white	-0.311939100775179
black	white	-0.609680663198687
metro	white	-0.32594689858974
elevation	white	0.283855585075258
radon	white	0.273305000045475
diabetes	white	-0.209928814171221
obesity	white	-0.0352462998156802
all_cancer	white	0.204507668096375
education	female_smoking	-0.0479780532030523
income	female_smoking	-0.160806197058317
mammogram	female_smoking	0.0417211339238882
drinking	female_smoking	0.261561460372475
male	female_smoking	-0.057186530872702
meat	female_smoking	-0.0425403929901091
particulate	female_smoking	-0.214827229402255
black	female_smoking	-0.222199840751077
metro	female_smoking	-0.275992341805817
elevation	female_smoking	-0.0392723906983227
radon	female_smoking	-0.119665152978686
diabetes	female_smoking	-0.045650702490552
obesity	female_smoking	0.0490007298261508
all_cancer	female_smoking	0.41817819433133
white	female_smoking	0.540117194882112
education	smoking	-0.216069637487161
income	smoking	-0.275642055131201
mammogram	smoking	-0.0801185245035324
drinking	smoking	0.188897567076664
male	smoking	-0.0488143283829034
meat	smoking	-0.0626854840353175
particulate	smoking	-0.197047469990027
black	smoking	-0.242617279255614
metro	smoking	-0.335721862080487
elevation	smoking	-0.0844022254626836
radon	smoking	-0.147706193679304
diabetes	smoking	0.0547941076174879
obesity	smoking	0.162214404084884
all_cancer	smoking	0.412317805851572
white	smoking	0.5182394287122
female_smoking	smoking	0.969625500458689
